student,Total,MissingJavadoc,unused,SingleClassImport,CanBeFinal,WrongPackageStatement,MultipleReturnPointsPerMethod,MethodWithMultipleLoops,FieldMayBeFinal,ChainedMethodCall
2,270,102,71,14,16,11,7,9,10,0
4,199,34,37,40,14,10,5,7,12,4
6,165,51,15,12,12,8,8,9,10,3
8,81,32,15,2,3,4,5,3,0,3
9,124,38,37,4,8,7,5,5,2,2
10,139,23,24,36,10,8,5,3,4,3
11,143,66,17,4,4,8,9,3,0,4
12,149,18,8,7,20,9,8,4,1,4
13,145,33,2,7,12,12,9,7,6,2
14,239,47,28,18,31,11,10,6,0,0
18,302,86,39,38,7,11,18,16,5,4
19,195,46,32,28,11,9,11,8,11,10
20,136,33,18,7,19,8,3,4,6,13
22,75,27,8,5,6,4,3,4,3,0
23,108,34,6,12,2,6,5,5,0,7
31,212,60,30,27,22,7,26,1,2,4
32,143,31,14,9,18,6,8,3,7,5
34,133,24,32,9,11,6,2,5,6,3
37,77,20,9,13,6,5,3,1,0,3
38,189,48,24,28,5,12,12,10,3,4
40,47,8,3,5,8,2,1,1,6,4
41,75,16,14,5,3,5,5,5,2,2
44,143,31,14,9,18,6,8,3,7,5
45,79,19,14,19,3,9,2,2,0,3
5,82,30,31,5,0,3,2,5,0,0
